id,type,taxi_time,gate (block) hour,runway hour,rwy_day,distance,angle,angle error,shortest path,distance_gate,distance_long,distance_else,rwy,rwy_num,operation_mode,other_moving_ac,QDepDep,QDepArr,QArrDep,QArrArr,NDepDep,NDepArr,NArrDep,NArrArr

01-Aug-2021_EZY28TA,arrival,7.116666666666666,23,23,31,1209.1207989652494,369.1638420997987,0,1029.6221924779495,83.4322277087,0,1125.6885712565495,,-1,0,1,0,0,0,0,0,0,0,0
02-Aug-2021_EZY28TA,arrival,0.5833333333333334,22,22,02,408.80924412685556,146.95582339080568,0,64.2533580586,0,0,408.80924412685556,23R/05L,1,0,3,0,0,1,1,0,0,1,2
04-Aug-2021_EZY28TA,arrival,3.7,22,22,04,1839.191193045811,425.8347732054294,0,1424.0029245730616,88.9090138822,0,1750.2821791636109,23R/05L,1,0,2,0,0,0,0,0,0,0,2
06-Aug-2021_EZY28TA,arrival,2.5166666666666666,23,23,05,773.2893515576409,192.87293481264226,0,435.6924923494884,83.0918278028,0,690.1975237548409,,-1,0,0,0,0,0,0,0,0,0,0
05-Aug-2021_EZY28TA,arrival,0.9,22,22,05,548.2484374999502,223.23068887553458,0,167.65724346138285,0,0,548.2484374999502,23R/05L,1,0,0,0,0,0,0,0,0,0,0
07-Aug-2021_EZY28TA,arrival,5.25,23,23,06,1958.7386727247817,530.8087855867852,0,1440.4923650311791,109.502424066,0,1849.2362486587817,23R/05L,1,0,3,0,0,0,0,0,0,1,1
08-Aug-2021_EZY28TA,arrival,3.25,23,23,07,1516.676330847005,420.2504188558632,0,1093.8755505365496,83.4322277087,0,1433.244103138305,23R/05L,1,0,4,0,0,0,0,0,0,1,2
10-Aug-2021_EZY28TA,arrival,3.0166666666666666,23,23,09,876.8442717524944,383.68996643214393,0,613.5344407471493,90.959777885,0,785.8844938674944,,-1,0,0,0,0,0,0,0,0,0,0
09-Aug-2021_EZY28TA,arrival,2.7,22,22,09,1323.3841195449327,273.17491496494046,0,875.8228644456319,0,0,1323.3841195449327,23R/05L,1,0,1,0,0,0,1,0,0,0,1
11-Aug-2021_EZY28TA,arrival,3.7666666666666666,23,23,10,1562.107749330905,498.5673319398467,0,1149.9808674801495,104.571349969,0,1457.536399361905,23R/05L,1,0,1,0,0,0,0,0,0,0,0
